Mã đơn hàng,Ngày đặt hàng,SKU sản phẩm,SKU phân loại hàng,Tên sản phẩm,Tên phân loại hàng,Giá gốc,Giá ưu đãi,Số lượng,Tổng giá bán (sản phẩm),Trạng Thái Đơn Hàng,Số lượng sản phẩm được hoàn trả
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 01,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 02,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 02,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hội An,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hạ Long,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Lá Cờ,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CAM1RB8X,2025-01-01 16:42,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 01,55000.00,43000.00,1,43000.00,Đã hủy,0
250101CBB13DJN,2025-01-01 16:54,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 01,55000.00,43000.00,1,43000.00,Hoàn thành,0
250101CBB13DJN,2025-01-01 16:54,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Đà Nẵng 02,55000.00,43000.00,1,43000.00,Hoàn thành,0
250101CBB13DJN,2025-01-01 16:54,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hà Nội 02,55000.00,43000.00,1,43000.00,Hoàn thành,0
250101CBB13DJN,2025-01-01 16:54,,,Magnet Lưu Niệm Việt Nam - Nam Châm Tủ Lạnh kim loại 3D - Quà Tặng Lưu Niệm Việt Nam,Hội An,55000.00,43000.00,1,43000.00,Hoàn thành,0
